Account Number,Description,Account Type
00-10000,Cage/Vault,Posting Account
00-10001,Cage/Vault Contra,Posting Account
00-10002,Cash On Hand-Other 1,Posting Account
00-10003,Cash On Hand-Other 2,Posting Account
00-10004,Floating Banks,Posting Account
00-10005,F&B Banks,Posting Account
00-10006,Hotel Banks,Posting Account
00-10007,Cage Cashier Banks,Posting Account
00-10008,Retail Banks,Posting Account
00-10009,TRU Kiosks,Posting Account
00-10010,Standalone ATM,Posting Account
00-10011,Other ATMs,Posting Account
00-10012,Proceeds From Asset Sale,Posting Account
00-10013,Admin-Concession Suspense,Posting Account
00-10014,Admin-Bar Suspense,Posting Account
00-10015,Admin- Visitor Center Clearing,Posting Account
00-10016,Admin-Machine Revenue Accrual,Posting Account
00-10017,Admin-Jackpot Clearing,Posting Account
00-10018,Admin-Misc Cash Receipts Clearing,Posting Account
00-10019,Admin-Misc Cash DisbursementClearing,Posting Account
00-10020,Admin-Restaurant Clearing,Posting Account
00-10021,Admin- Credit Card Clearing,Posting Account
00-10022,Admin-Hotel Clearing,Posting Account
00-10023,Admin-Gift Shop Clearing,Posting Account
00-10024,Admin-Pettty Cash,Posting Account
00-10500,Internal DIT - Slots,Posting Account
00-10501,Internal DIT - Ent,Posting Account
00-10502,Internal DIT - F&B,Posting Account
00-10503,Internal DIT - Retail,Posting Account
00-10504,Internal DIT - Hotel,Posting Account
00-10505,Internal DIT - Other 1,Posting Account
00-11000,Payroll Account-USB 8036,Posting Account
00-11001,TCB - PAYROLL ACCT,Posting Account
00-11002,Depository Account-USB 8028,Posting Account
00-11003,Merchant Acct.  8044,Posting Account
00-11004,Prize Account,Posting Account
00-11005,TCB - AP/ USB HOLIDAY INN,Posting Account
00-11006,USB - Operating 8051,Posting Account
00-11007,TCB - GENERAL ACCT,Posting Account
00-11008,Pinnacle Debt Service Reserve,Posting Account
00-11009,Savings Account-Bank 2,Posting Account
00-11010,Flexible Savings-Bank 2,Posting Account
00-11011,Savings Account-Bank 3,Posting Account
00-11012,Credit Card Clearing,Posting Account
00-11013,Bank Account Clearing,Posting Account
00-11014,Cash Clearing,Posting Account
00-12000,A/R Related Companies,Posting Account
00-12001,A/R Employees,Posting Account
00-12002,A/R Employee Group Insurance,Posting Account
00-12003,A/R Catering,Posting Account
00-12004,A/R Hotel,Posting Account
00-12005,A/R Hotel Deposit Ledger,Posting Account
00-12006,A/R Other,Posting Account
00-12007,Allowance for Doubtful Accts,Posting Account
00-12008,A/R Global e-checks,Posting Account
00-12009,City Ledger,Posting Account
00-12010,A/R ATM,Posting Account
00-12011,Accounts Rec - Credit Cards Tobacco,Posting Account
00-12012,Accounts Rec-Credit Cards F&B,Posting Account
00-12013,Accounts Rec - Credit Cards Hotel,Posting Account
00-12014,Admin-A/R Credit Cards VC,Posting Account
00-12015,Admin-A/R Tribe,Posting Account
00-12016,AccRec Credit Card Otter Creek,Posting Account
00-13000,Inv Restaurant F & B,Posting Account
00-13002,Inv F&B - Cafe,Posting Account
00-13003,Inv F&B - The Deli,Posting Account
00-13004,Inv F&B - EDR,Posting Account
00-13005,Inv F&B - Catering,Posting Account
